,en_text,fa_text,LLM_translation
47,run!,! فرار کن,بدو!
48,guys...,…بچه‌ها,بچه‌ها...
49,anchors away!,! لنگر‌ها بالا,لنگرها بالا!
50,"remember, we agreed not to make a big deal about this.",یادتون باشه، قرار بود زیادی گنده‌ش نکنیم,یادت باشه، قرار گذاشتیم سخت نگیریم این قضیه رو..
51,"i have, like, 400 from helping my dad around here.",من حدود ۴۰۰ تا برای کمک کردن به پدرم دارم,یه چیزی حدود ۴۰۰ تا دارم، از کمک کردن به بابام این دور و برا..
52,"uh, look, my mom has her own definition of what success is,",اوه ببین، مامانم تعریف خودشو از موفقیت داره,اه، ببین، مامان من تعریف خودش رو از موفقیت داره.
53,truth or dare?,حقیقت یا شجاعت؟,راستشو بگو یا جرأت داری؟
54,how do you know? - how do i know about anything?,از کجا میدونی؟ همونجور که بقیه چیزا رو میدونم,چطور می‌دونی؟ - اصلاً من از کجا بدونم؟
55,most people.,اکثر مردم,بیشتر آدما...
56,and for what?,اونم برای چی؟,و واسه چی؟
57,let's cut these guys off.,بیاید ازشون رد بشیم,بیا این یاروها رو دور بزنیم.
58,"wow. nice work. - well, who is it?",افرین کارت خوب بود - حالا کی هست؟ -,وای. کارت درسته. - خب، کیه؟
59,do you find that to be true?,به نظرت همینطوره؟,آیا به نظرت این درسته؟
60,"listen. - okay,",گوش کن- باشه-,"گوش کن. - باشه,."
61,what is she doing?,داره چی کار می‌کنه؟,داره چی کار می‌کنه؟
62,what the fuck is wrong with her?,چه مرگشه؟,چه مرگشه؟
63,"we're there! -thank you,",حتما میایم - ممنون -,رسیدیم! - مرسی
64,and i'll spare the life of the baby.,و از جون بچه می‌گذرم,و من جون بچه رو نجات میدم...
65,you know what that's gonna say? joe gardner!,میدونی میخواد چی بگه؟! جو گاردنر,می‌دونی چی قراره اونجا بنویسه؟ جو گاردنر!
66,hey.,هی,هی..
67,todd's gonna stay with me until he finds a place.,تاد «با من میمونه». تا وقتیکه یه جا پیدا کنه,تاد پیش من می‌مونه تا یه جا پیدا کنه.
68,"go, go, go, go, go!",! برو، برو، برو، برو، برو,برو برو برو برو برو!
69,i'm mixing.,دارم مخلوط می‌کنم,دارم قاطی میکنم...
70,"and maybe you can listen to it and tell me to quit after, okay?",و شاید بتونید گوش کنید و بعدش بهم بگید انصراف بدم، باشه؟,شاید می‌تونی گوش بدی و بهم بگی بعدش باید بیخیالش بشم، قبوله؟
71,"whose mothers smoked weed during utero,",و مادر‌هایی که توی دوران جنینی بچشون علف میکشیدن,ماماناشون وقتی حامله بودن، علف می‌کشیدن.
72,even better than the cows.,حتی بهتر از گاوها,حتی بهتر از گاوها..
73,"[ stammers ] what does this remind me of, mel?",چرا این منو یاد مل «میندازه؟»,[ با تته‌پته ] این منو یاد چی می‌اندازه، مل؟
74,over my dead flaming body!,مگه از روی جنازه‌م رد شی,رو جنازه‌م!
75,look! there i am.,! ببین من اونجام,نگاه کن! من اونجام..
76,so we gotta chop chop.,پس باید بجنگیم,باید عجله کنیم..
77,"this bitch keeps fucking around,",اگه این زنیکه مسخره‌بازی شو ادامه بده,این دختره هی داره چرت و پرت می‌بافه.
78,mm-hmm.,اوهوم,اوهوم..
79,"i mean, you'd have to",…باید,منظورم اینه که، باید این کارو بکنی.
80,"tornado wranglers. - tornado wranglers, baby.",گردبادکش‌های حرفه‌ای هستیم -! گردبادکش، عزیزم -,رام‌کننده‌های گردباد. - رام‌کننده‌های گردباد، عزیزم.
81,"riley, i'm open. pass it, pass it!",. رایلی، من خالی‌ام پاس بده، پاس بده,رایلی، من خالی‌ام. پاس بده، پاس بده!
82,leave her alone.,ولش کنین,ولش کن..
83,now it's your turn to help us.,حالا نوبت شماست که کمک‌مون کنید,الان نوبت توئه که بهمون کمک کنی..
84,"forget 'em! -no, no, no, i can find her.",بی‌خیال‌شون - نه، می‌تونم پیداش کنم -,بی‌خیالشون شو! -نه، نه، نه، می‌تونم پیداش کنم..
85,"no, no, no, no.",". نه,نه,نه,نه",نه، نه، نه، نه...
86,we can't let her do this to riley.,نباید بذاریم همچین بلایی سر ریالی بیاره,نمی‌تونیم بذاریم این کار رو با رایلی بکنه.
87,"we lost your radar, javi. you got eyes on the tornado?",رادار تو رو از دست دادیم حاوی گردباد رو می‌بینی؟,رادار تو از دست دادیم، جاوی. تورنادو رو می‌بینی؟
88,you get what it takes to be the best.,تو توانایی درخشیدن رو داری,تو اون چيزی که برای بهترين بودن لازمه رو داری.
89,and she's nice to stray cats.,تازه با گربه‌های ولگرد هم رفتار خوبی داره,و با گربه‌های ولگرد مهربونه.
90,"i long to be a hero,",من ارزوی قهرمان بودن رو دارم,خیلی دوست دارم قهرمان بشم.
91,"yeah, feels like it's a little sticky. - oh, no.",اره، به‌نظر میاد چسبیده - اوه نه -,آره، یه جورایی چسبناک به نظر میاد. - اوه، نه...
92,look at that. look at tintin.,اینو ببین تینتین رو ببین,نگاه کن اونجا رو. به تن‌تن نگاه کن.
93,"uh, mrs. rosenberg had a family vacation on the books",خانم روزنبرگ چندین ماهه که,اِاا، خانم روزنبرگ یک مسافرت خانوادگی تو برنامه‌ش داشت.
94,what? you're paranoid.,چی؟ شکاک شدی بابا,چی؟ تو پارانویا داری...
95,he told me about all those late night meetings,در مورد اون همه جلسات شبانه,به من گفت در مورد اون جلسه‌های آخر شب.
96,"you need a ride to work, you got to get going now.",اگه میخوای با ماشین برسونمت بر سر کار همین الان باید بلند شی,اگه می‌خوای بری سر کار، الان باید راه بیفتی.
97,"come on, buddy.",بیا رفیق,بیا دیگه، رفیق..
98,you need this to happen,تو خودت از هر کس دیگه‌ای,تو نیاز داری که این اتفاق بیفته.
99,then we'll divide into teams.,بعدش تیم‌بندی می‌کنیم,بعدش تیم‌ بندی می‌کنیم.
