,en_text,fa_text,T5_translation
19,do you have anything that can help us?,چیزی داری که به کمک‌مون بیاد؟,چیزی داری که به کمک مون بینگ ان برسی؟
20,maybe you will find their spark,شاید شما بتونید جرقه شون رو پیدا کنید,شاید بتوانید گوربه گور را پيدا کنید
21,whoa!,! وای,! بله
22,"oh, yeah, thanks. thanks, man.",اوه، اره، ممنون ممنون مرد,اه، اره، متشکرم، متشکرم مرد
23,jovan talked some guy into buying the moon for him.,جوان یکی رو راضی کرد براش ماه بهره,یکی از این دو نفر نیز به خاطر ماه ظاهرا افسرده شد
24,kate!,! کیت,کیی
25,we made it! this is going to work.,ما توانستیم داریم موفق میشیم,ما می توانیم کاری کنیم که ما را به موفقیت برسانیم
26,"that belong in the back of the mind,",جاش ته ذهنه,ذهن ات را جا بزن
27,"oh, jesus.",ای خدا,خدای من
28,"come on, come on! you got to go! it's here!",! زودباشید، زودباشید! باید برید! گردباد رسید,زود باش، زود باش، زود باش، زود باش، باید برید، گردباد برسد
29,you are not all that.,انقدر هم خوب نیستی,خوب نیست
30,"well, maybe,",خوب شاید,خوبه، شاید
31,"riley, what are you talking about?",رایلی، از چی حرف می‌زنی؟,رایلی، از چی حرف می زنم؟
32,"well, actually, that does sound kinda nice.",راستش ایده‌ی خوبیه,راستش، راه خوبیه
33,"i'm sorry. what was that, officer?",ببخشید چه گفتن جناب افسر؟,ببخشید چه حرفی زدی اقای افسر؟
34,we show them we're a fire hawk who will do whatever it takes.,بهشون نشون می‌دیم ما شاهین اتشینی هستیم که هرکاری لازم باشه می‌کنیم,بهشون نگفتیم ما شاهزاده ی هیجان زده هستیم که هر کاری لازم باشه، ما باید انجام بدیم
35,"turns out, there's more to this story than i thought.",ظاهرا داستان از اون چیزی که فکر می‌کردم، پیچیده‌تره,ظاهرا داستانی از اون چیزی که من فکر می کردم، تره ی قابل توجه
36,"well, didn't throw you off the scent.",خب، تو رو گمراه نکردم که,خوب، من دارم از خودم می پرسم
37,hi. - he's okay.,سلام- خوبه-,خوبه
38,maybe i will. - wonderful.,شاید بکنم - عالیه -,- عالیجناب -
39,what? -she knows better than that.,چی؟ - اون عاقل‌تر از این حرف‌هاست -,چی؟ - اون احمقه تره -
40,"and you lean on me, 'cause i'm gonna take you.",",و بهم تکیه کن. چونکه میبرمت",بهم گوش بده، چون من حرفم را قطع می کنم
41,"you know, life and all.",می‌دونی، به‌خاطر زندگی و مشکلات,مین، به خاطر زندگی و مشکلات
42,this is the moment where i fell in love with jazz.,این لحظه‌ای بود که من عاشق موسیقی جاز شدم,همان لحظه ای که من عاشق موسیقی اسپ شدم
43,remember leigh had all these plans about getting married under the arbor?,یادت میاد لی اون همه نقشه برای ازدواج زیر این تاکستان رو؟,یادت میاد لی، نقشه های ازدواج در طول این کشور را یادت میاد؟
44,yep. i'm aware.,اره، خبر دارم,اره، خبر منم
45,subtitles by explosiveskull,: ترجمه از Overhaul,ترجمه از تعمیرگاه
46,no way! i am not moving!,! نمیشه! من از اینجا تکون نمی‌خورم,! نمیشه، من از اینجا سیر نمی شوم
47,run!,! فرار کن,زود باش
48,guys...,…بچه‌ها,عجب
49,anchors away!,! لنگر‌ها بالا,راننده ها بالا
50,"remember, we agreed not to make a big deal about this.",یادتون باشه، قرار بود زیادی گنده‌ش نکنیم,خوب، فکر می کنم، باید کمی گم گور گم کنم
51,"i have, like, 400 from helping my dad around here.",من حدود ۴۰۰ تا برای کمک کردن به پدرم دارم,من حدود ۴۰۰ تا برای کمک به پدربزرگم
52,"uh, look, my mom has her own definition of what success is,",اوه ببین، مامانم تعریف خودشو از موفقیت داره,اه، ببین، مامانم از موفقیت خودش را بهتر از خودش معرفی می کند
53,truth or dare?,حقیقت یا شجاعت؟,حقیقت یا شجاعت؟
54,how do you know? - how do i know about anything?,از کجا میدونی؟ همونجور که بقیه چیزا رو میدونم,از کجا می دونی؟ همان جور که همه ی این حرف ها رو می گم
55,most people.,اکثر مردم,تعداد بیشتر مردم
56,and for what?,اونم برای چی؟,برای چی؟
57,let's cut these guys off.,بیاید ازشون رد بشیم,بجنب از اونا رد شو، گم شو
58,"wow. nice work. - well, who is it?",افرین کارت خوب بود - حالا کی هست؟ -,کارت افروز خوب بود - حالا کی هست؟ -
59,do you find that to be true?,به نظرت همینطوره؟,به نظر من، اینطوری نیست؟
60,"listen. - okay,",گوش کن- باشه-,گوش کن - باشه -
61,what is she doing?,داره چی کار می‌کنه؟,ایا چطوری باید شروع کنیم؟
62,what the fuck is wrong with her?,چه مرگشه؟,چه مربورک؟
63,"we're there! -thank you,",حتما میایم - ممنون -,حتما میریم - متشکرم -
64,and i'll spare the life of the baby.,و از جون بچه می‌گذرم,و از جون بچه گم شو
65,you know what that's gonna say? joe gardner!,میدونی میخواد چی بگه؟! جو گاردنر,جو گاردنر، می دونی، می دونی چی میگی؟
66,hey.,هی,هی
67,todd's gonna stay with me until he finds a place.,تاد «با من میمونه». تا وقتیکه یه جا پیدا کنه,ان ترن «با من می مونم تا وقتی که یه جا پیدا بشه
68,"go, go, go, go, go!",! برو، برو، برو، برو، برو,! برو، برو، برو، برو، برو، برو
69,i'm mixing.,دارم مخلوط می‌کنم,من دارم یه جور کنم
70,"and maybe you can listen to it and tell me to quit after, okay?",و شاید بتونید گوش کنید و بعدش بهم بگید انصراف بدم، باشه؟,شاید بتونم گوش کنم و بعدش هم به من گفت از دست دادن از من استعفا می دهی، باشه؟
71,"whose mothers smoked weed during utero,",و مادر‌هایی که توی دوران جنینی بچشون علف میکشیدن,و مادرانی که در دوران جنون طفلکی ها مثل لاشه ی پوست پوست می چرخندند
72,even better than the cows.,حتی بهتر از گاوها,بهتر از گاوها
73,"[ stammers ] what does this remind me of, mel?",چرا این منو یاد مل «میندازه؟»,چرا این حرف ها را به یاد می گم «میندکا»؟
74,over my dead flaming body!,مگه از روی جنازه‌م رد شی,مثل اینکه از طرف جناح م رد شی
75,look! there i am.,! ببین من اونجام,! من را ببینید اونجام
76,so we gotta chop chop.,پس باید بجنگیم,پس باید توی لجن زار باشیم
77,"this bitch keeps fucking around,",اگه این زنیکه مسخره‌بازی شو ادامه بده,اگه این زن که بازی موزیکال ادامه پیدا کنه
78,mm-hmm.,اوهوم,اوه
79,"i mean, you'd have to",…باید,...باید
80,"tornado wranglers. - tornado wranglers, baby.",گردبادکش‌های حرفه‌ای هستیم -! گردبادکش، عزیزم -,- چربادک حرفه ای وجود داره - چربادک عزیزم
81,"riley, i'm open. pass it, pass it!",. رایلی، من خالی‌ام پاس بده، پاس بده,رایلی، من خالی ام پاس بده، پاس بده
82,leave her alone.,ولش کنین,لوس کن
83,now it's your turn to help us.,حالا نوبت شماست که کمک‌مون کنید,حالا نتیجه ی تو اینه که کمک مون را بگیری
84,"forget 'em! -no, no, no, i can find her.",بی‌خیال‌شون - نه، می‌تونم پیداش کنم -,بدون خیال - نه، میتونم پیداش کنم -
85,"no, no, no, no.",". نه,نه,نه,نه",نه،نه،نه،نه
86,we can't let her do this to riley.,نباید بذاریم همچین بلایی سر ریالی بیاره,باید برای سفر به روستای جنوبی غربی سفر کنیم
87,"we lost your radar, javi. you got eyes on the tornado?",رادار تو رو از دست دادیم حاوی گردباد رو می‌بینی؟,رلان تو رو از دست دادیم، توی رگبار پیدا کردیم؟
88,you get what it takes to be the best.,تو توانایی درخشیدن رو داری,تو باید صدای چرخش رو ادامه بدی
89,and she's nice to stray cats.,تازه با گربه‌های ولگرد هم رفتار خوبی داره,رفتارش مثل رفتار گربه های ولگرد هم خوب است
90,"i long to be a hero,",من ارزوی قهرمان بودن رو دارم,من عاشق قهرمان بودن ارزشمندی هستم
91,"yeah, feels like it's a little sticky. - oh, no.",اره، به‌نظر میاد چسبیده - اوه نه -,اره، به نظر میاد به گوش میاد چسبیده بود اوه نه
92,look at that. look at tintin.,اینو ببین تینتین رو ببین,این یکی میتونی میتونی میتونی
93,"uh, mrs. rosenberg had a family vacation on the books",خانم روزنبرگ چندین ماهه که,خانم روزنبرگ، چند ماهه
94,what? you're paranoid.,چی؟ شکاک شدی بابا,چی؟ شکاک فلانی بابا
95,he told me about all those late night meetings,در مورد اون همه جلسات شبانه,در مورد تمام جلسات شبانه
96,"you need a ride to work, you got to get going now.",اگه میخوای با ماشین برسونمت بر سر کار همین الان باید بلند شی,اگه با ماشين ماشین حرف بزنیم، سوار شو، حالا باید لباسمو پوشون کنم
97,"come on, buddy.",بیا رفیق,بیا رفیق
98,you need this to happen,تو خودت از هر کس دیگه‌ای,تو از هر کسی که دیگه ای هست بیرون می کنی
99,then we'll divide into teams.,بعدش تیم‌بندی می‌کنیم,بعد از ان، تیم بندی می کنیم
100,"ever since you got struck by lightning, you're no fun.",از وقتی رعد و برق بهت خورده دیگه اهل حال نیستی,از وقتی که دیگ های تند و تند تند غذا خورده اهل وضعیت نیست
101,i've been wondering what you want me to do with all this stuff.,نمی‌دونستم می‌خوای با اینا چی کار کنم,نمیدونم، می خوام با اینا حرف بزنم چه کار کنم
102,sully! sully! - sully!,سالی، سالی,سالی، سالی
103,damn. dandelion girl was right.,لعنت بهش دختر قاصدکی درست می‌گفت,لعنت بهش دختر قاصدکی، درست میگم
104,and practice like we've never practiced before.,و به روشی بی‌سابقه تمرین کنیم,و برای برگزاری دوره ی سابقه ی ورزش را شروع کنیم
105,everything is beautiful!,همه‌چیز قشنگه,همه چیز قشنگه
106,then you must make your curse your gift.,پس باید نفرینت رو تبدیل به موهبتت کنی,پس باید نفرین کردن را به صورت موش کنی تبدیل کنیم
107,that's not good.,این خوب نیست,خوب نیست
108,let's get these memories downstairs.,بیاید این خاطرات رو بندازیم طبقه پایین,بفرمایید این خاطرات را در طبقه پایین بگذاریم
109,"so dad could pursue his dreams, and i can't?",پس بابا توانست بره دنبال رویاهایش اما من نمیتونم؟,پس بابا می توانست برود دنبال نقشه، اما من نمیتونم؟
110,excuse us. -hey! you can't use that.,با عرض پوزش - هی، حق استفاده ازش رو ندارید -,با اظهار ترحم - هی، حق استفاده از اون نیست
111,but now we have a way to fight back.,اما الان یه راهی برای مقابله باهاش داریم,اما الان راهی برای مقابله با اونها هست
112,"i'm, look, i'm so.",…من,من ...
113,you can't say that.,نمیتونی این رو بگی,نمیشه، بگی
114,i'm taking the baby.,بچه رو می‌برم,بچه رو ببر
115,it's got to be absolutely perfect.,باید دقیق دقیق باشه,باید دقيق و دقيق باشه
116,in theory.,از لحاظ تیوری,از لحاظ تیوری
117,"come on, it's okay.",حالا چیزی نیست,حالا چیزی نیست
118,i got my hands on a few prototypes.,یه چندتا نمونه اولیه‌اش رو گیر اوردم,یک نمونه اولیه یه عکس توی عکس اورملام
119,you care too much about things.,خیلی اهمیت می‌دی‌ها,خوب، مود ها
120,it's okay.,چیزی نیست,چیزی نیست
121,"okay, so, so let's make the next one",خیلی خب، بیا بعدی رو,خیلی خب، ببینم، حالا
122,i think so.,. فک کنم,منو ببوس
123,i'm going to live every minute of it.,قراره از تک‌تک لحظه هاش استفاده کنی,باید از همان لحظه ی گذشته استفاده کنی
124,you want one?,می‌خوای امتحان کنی؟,می خوای امتحان کنی؟
125,can i please just pay the ticket and go home?,نمیشه لطفا جریمه بدم و برم خونه؟,لطفا جریمه بدم را ببر خونه؟
126,the count's off.,! سرشماری مشکل داره,! شکل لباس پوشیده
127,this is more than i remember sending back here.,یادم نمیاد این همه خاطره فرستاده باشیم اینجا,یادت باشه که همه خاطرات را رها کرده باشم
128,"all righty, mentors.",خیلی خب مربی‌ها,خیلی خب، کاراگاه ها
129,we've never connected an untethered soul back to its body before.,ما تاحالا یه روح ازاد رو به بدنش برنگردوندیم,ما تا حالا یک روح دیوانه به بدنش نرسیدیم
130,"guys, let's go, go, go!",! بچه‌ها، بریم، بریم، بریم,بچه ها، بریم، بریم، بریم
131,that are right there to the printer? no.,این دقیقا اینجاست برای چاپ خونه؟ نه,این دفعه برای گشت خونه است؟ نه
132,what pills?,کدوم قرص‌ها؟,کدوم قرص؟
133,"because, mon ami, we need to speed things up,",دوست عزیزم، چون باید عجله کنیم,عزیزم، چون باید عجله کنیم
134,whoa!,! وای,! بله
135,i'm sure you're very talented in a lot of different ways.,مطمینم تو هم تو خیلی چیزها با استعدادی,یقین بدانید که من هم توی همه چیز هستم
136,"a one-way expressway to,",می‌ره اون پشت مشت‌ها,پشت مشت ها را می ریم
137,"okay, uniforms.",خیلی‌خب، یونیفرم,خیلی خب، یونیفرم
138,exactly what you'd expect.,دقیقا همون چیزی که انتظار می‌رفت,همان چیزی که انتظار می کشیم
139,that's a sar-chasm.,شکاف ناشی از کنایه‌ست,شکاف توسط دزدان امنیتی
140,remember when we all finally came up to headquarters?,اون زمان رو یادتونه که تازه اومده بودیم مرکز فرماندهی؟,این دفعه به یاد میاد که من رفته بودم فرماندار؟
141,we got to get him down. okay.,. ما باید بیاریمش پایین -. باشه -,باید زودتر سوار شویم - خوبه -
142,they have a nice wine list.,شراب‌های خوبی دارن,شرایط خوبی وجود دارد
143,you too.,شما هم همین‌طور,تو هم همین طوری
144,i don't know.,. نمیدونم,نمیشه
145,it's okay. it's okay. i'll do it.,. عیبی نداره. مشکلی نیست. من انجامش میدم,مشکلي نیست، مشکلی نیست، من انجامش می دهم
146,mom doesn't know about this gig.,مامان درمورداین اجرا چیزی نمیدونه,مامان در مورد این اجرا چیزی نمی فهمم
147,that one goes there. check.,. این هم می‌ره اینجا بررسی شد,اینها هم می ره، بررسی شد
148,"come on, kate. all right, you got it.",زودباش کیت خیلی‌خب، بلند شو,خیلی خوب کیی، خیلی خب، شوخی
149,"sorry, but joe can't do it today.",ببخشید، ولی جو امروز نمیرسه,ببخشید، اما جو امروز نباید اذیت بشه
150,"um, leigh was actually valedictorian.",مم، در واقع «لی» شاگرد ممتاز بود,م، در واقع «تی» شاگرد عالیرتبه بود
151,what are we saying?,چی داریم می‌گیم؟,ما گیم چی داریم؟
152,ah! spicy! spicy!,! تنده! تنده,! تنده، تنده
153,"it's giving me incredible high-resolution images,",تصاویر عالی و با رزولوشن بالا در اختیارم می‌ذاره,عکس های عالی و با رزالیتوتسون بالا در نظر من عالی است
154,i bet anxiety would have a really good plan...,شرط می‌بندم اگه «اضطراب» اینجا بود خیلی خوب برنامه‌ریزی می‌کرد,شرط می بندم اگه اضطراب اینجا بود، نقشه ریزی خوبی بود
155,"plus, we followed our new",تازه، برنامه تمرینی تیم اول رو,تیم اول شروع طرح ورزش
156,"joy, the only way out is up.",شادی، تنها راه خروج به سمت بالاست,خوشبختی، تنها راه ورود به سمت بالاست
157,that's a really judgmental question. [ mel ] yeah.,واقعا سوالات پیش داورانه بود- اره-,واقعا اتفاقات بدی پیش از داوطلبانه ای افتاده بودند
158,"she's doing her thing, man.",داره کارش رو می‌کنه پسر,دخترک، کارش تموم می شه
159,"okay, good.",باشه خوبه,بسیار خوبه
160,black improvisational music.,بداهه‌نوازی موسیقی,موسیقی زشت
161,i said turn around.,گفتم بچرخ,گفتم کوچک چر
162,and it feels like you're in another place?,احساس می‌کنید جای دیگه‌ای هستید؟,احساس می کنی که جای دیگه ای هستی؟
163,it was horrible.,فاجعه بود,فاجعه بود
164,i'm just supposed to make sure you don't die.,من فقط قراره مطمین شد که تو نمی‌میری,من فقط باید مطمین بشم که تو نمی میری
165,are you okay?,حالت خوبه؟,حالت خوبه؟
166,scarecrow is up.,مترسک فعال شد,خطر قابل توجهی شروع شد
167,so what do you think you'll do?,فکر می‌کنی چیکار می‌کنی؟,فکر می کنی چه جور کار می کنی؟
168,"and then i tell anxiety, ""hey, don't worry so much anymore.""",بعدش به اضطراب می‌گم «نمی‌خواد این‌قدر نگران باشی»,بعد از ان به اضطراب می گویم «نمی خوای این قدر نگران باشی»
169,so send them out with just a little bit...,…پس براشون یه‌خرده,پس برای اونها یه جور یه
170,i think i'm speaking for all the jerrys when i say thank you.,من از طرف همه اجرای‌ها اومدم تا ازتون تشکر کنم,من از طرف همه اجراها از تو اومدم تا از تو شکر کنم
171,let's go!,! برو بریم,! برو بریم
172,i don't know.,. نمیدونم,نمیشه
173,"um, this is one of the happier pieces.",منم، این یه قسمت شاد ترش ه,ان، این قسمت خیلی خوش اخلاقه
174,we're going!,باید برویم,بايد بریم
175,that she doesn't force me to do.,کاری با این بچه نمی‌کنم,کار با این بچه نباید کنم
176,who? you mean the guy from the bar?,کی؟ متصدی بار میگی؟,کی؟ مامور مامور مگی؟
177,"back up, back up, back up!",! برو عقب، برو عقب، برو عقب,! برو عقب، برو عقب، برو عقب
178,you can bite.,تو میتونی گاز بزنی,تو میتونی گاو بزن رو ببینی
179,because you have no purpose!,چون هیچ هدفی نداری,چون هیچ هدفی ندارم
180,"[ sobs ] wait. no, he-- no, he--","…وایستا. نه,اون …نه,اون",یه سری ... نه، اون ...نه، اون
181,how?,چطور؟,چطور؟
182,patrol finds you passed out behind the wheel of your own car,گشت تو رو کاملا بیهوش پشت فرمونش ماشینت,پشت ماشین فرمونسک کاملا بی حرکت شدم
183,joe! who's ready to go home?,! جو کی برای رفتن به خونه اماده س؟,جو کی برای رفتن به خونه حاضره؟
184,both hands. both hands.,دو دست دو دست,دو دست دو دست
185,terry's got this under control. i'll handle it.,تری حواسش هست درستش می‌کنم,فکر ترش هست، خوب، خوب،
186,"with a nice pass over to reeves,",یه پاس خوشگل می‌ده به‌روز,یک پاسگاه خوشگل امروز صبح می ده
187,you ready?,اماده‌ای؟,حاضرم؟
188,yes!,ایول,ایول
189,glad to see boy band island finally broke up.,خوش‌حالم که جزیره بند خوانندگان پسر از هم پاشید,خوشحالم که اهل جزیره برای خواندن دختران پسر هم برای خواندن لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از لباس های پوشیده از پوستین
190,she's having a great time.,خیلی داره بهش خوش می‌گذره,خیلی خوبه که بهش خوش گذشت
191,i feel terrible.,حس خیلی بدی دارم,حس بدی دارم
192,"look, i was-- i was-- we were talking. i'm sorry.","…ببین,من …من. ما داشتیم صحبت می‌کردیم. من متاسفم",ببین، من ...من ... ما حرف زدیم، من متاسفم
193,"that would be april 20th, 1987.",بیست اپریل ۱۹۸۷,۲۴ اوت ۱۹۸۷
194,"listen to me, okay?","به من گوش کن,باشه؟",به من گوش کن، باشه؟
195,"i know you, sadness.",من می‌شناسمت هم,من هم دارم شناخته می شم
196,we had to motivate her properly.,باید خوب بهش انگیزه می‌دادیم,باید خوب باشد که انگیزه ی مورد علاقه ی شما را اجرا می کنیم
197,"please, just do it quickly and quietly.",خواهشا سریع و بی‌صدا انجامش بده,اگرچه زودتر زودتر زودتر شروع کن
198,hmm.,هوم,بله
199,how are you driving?,چطور داری فرمان می‌دی؟,چطوری دستور دیم رو می دی؟
200,"but i know a lot less about manual 28, chapter seven,",‫ولی من خیلی کم‌تر از اون چیزی که ‫مردم فکر می‌کنن، از کتابچه‌ی ۲۸,من از اون چیزی که مردم فکر می کنند کمتر از اون چیزی هستم که من از کتابچه ۲۸
201,that son of a bitch came to me.,حرومزاده سراغ من اومد,دخترک گمشده به سوی من امد
202,you feel less joy.,کم‌تر احساس شادی کردن,کمتر احساسات شادمانی
203,where all the bad memories are.,جایی که تمام خاطرات بد نگه داشته شدن,در حالی که خاطرات همه بد نگهداری شده
204,"javi, we've got to help.",بلی، باید کمک کنیم,بله، باید کمک کنیم
205,what the heck is that?,این دیگه صدای چیه؟,این دیگ چطوره؟
206,i'm riley.,من رایلی هستم,من رایلی هستم
207,"81, that is not helping.",شماره ۸۱، این اصل به‌درد نمی‌خوره,شماره ۸۱، این اصل درد نمیشه
208,"fear, you have a parachute?",ترس، چتر نجات داری؟,ترس، چتر نجات پیدا می کنی؟
209,22! - what did you just say?,! ۲۲ - چی گفتی؟ -,۲۲ - چی گفتی؟ -
210,we'll need to stay weather-aware,…باید حواس‌مون جمع باشه,باید حواس مامان جمع بشه
211,okay. 2:00 p.m. that's in... -six minutes.,…خیلی‌خب، ساعت ۲ ظهر. یعنی - شیش دقیقه دیگه مونده -,ساعت ۲ ظهر، یعنی ساعت دو ربع صبح، یعنی -
212,kate!,! کیت,کیی
213,otherwise go take-,…و گرنه,...و گرنه
214,"oh! - hold on, y'all.",! اوه - صبر کنید -,اوه - صبر کن -
215,and i do not like her actions.,خوشم نمیاد,خوبم نمی تونم
216,cool.,خوبه,خوبه
217,"fine, we'll get the suit off the rack somewhere.",خیلی خب میریم که کت و شلوار از جالباسی بر می‌داریم,خیلی خب، میریم که کت و شلوار از لباس های جالباسی بردارم
218,coach roberts isn't gonna be our coach next year.,مربی رابرتس، سال بعد مربی‌مون نمی‌شه,مربی رابرتز، سال بعد، مربی مون نمی شه
219,tell them it's the same stuff they use in diapers. hmm.,بهشون بگو همون موادیه که توی پوشک استفاده می‌شه,بهشون بگو موادی که توی پوشک استفاده می شه
220,almost didn't recognize him with the haircut.,با اون مدل موی جدیدش اصلا نشناختمش,با اون مدل مدرن که اصلا پیدا نشده
221,come on!,! زودباش,زودباش
222,a rogue emotion has taken over headquarters.,یک احساس سرکش مرکز فرماندهی رو تسخیر کرده,یک مرکز فرمانده ی فرماندار را تحت تأثیر قرار داد
223,the ruling class's core curriculum stifles dissent.,برنامه اموزشی که دولت ارایه میکنه عقاید رو سرکوب میکنه,برنامه ی راهنمایی که دولت برای اصلاح قوانین دولت حاضر می شود، فکرها را تحت فشار قرار می دهد
224,stop that. no.,بس کن نه,بسیار خوب، نه
225,"yo, come on, man.",هی، بیا بریم پسر,هی، بیا بریم پسر
226,of course.,خواهش,زود باش
227,"all right, hold on.",خیلی خب، وایسا,خیلی خب، ایویسا
228,one's gonna die out.,یکی‌شون الان تموم می‌شه,یکیشون الان تمام شد
229,what?,چی؟,چی؟
230,to make all this go away.,تا همه اینا از بین بره,تا همه اینها از بین برود
231,and we used to feel lucky if we could get you to wear pants.,و قبلا به‌زور شلوار پات می‌کردیم,و لباس پوشی برای لباس راحتی برای لباس راحتی استفاده کردم
232,forensics is going over it at the impound lot.,بخش جرم شناسی توی پارکینگ داره روش تحقیق میکنه,قسمت تحقیقات جرم شناسی در پارک ون برای تحقیق روشن است
233,"all right, come on, cairo!",! خیلی‌خب، برو قاهره,خیلی خب، برو قاهره
234,"we're okay. - yeah, we're good, man.",حال‌مون خوبه - اره، خوبیم پسر -,وضع مون خوبه اره، خوبیم پسر
235,val is leading us into their holy inner sanctum!,وال داره ما رو به حریم خصوصی مقدس‌شون می‌بره,اره، یه انسان باید همه چیز را حفظ کنه
236,"[ chuckles ] well, that'd be cool. right?",خوب این عالیه اره؟,خوب، عالیجناب اره؟
237,riley will never be herself,اگه این رو فورا به مرکز فرماندهی برنگردونیم,اگه فورا به فرماندار برنگردونیم برسیم
238,you'd have to shower in the lake.,مجبور بودی توی برکه دوش بگیری,من توی برکه دوش بگیرم
239,that some cop has to come and tell her that her kid is dead.,میشه که چنتا پلیس. میان و میگم که پسرت مرده,میشه یک نفر سلیس، بین و میگم که پسرت مرده
240,you got all his money and you ran away.,همه پولاشو برداشتی و در رفتی,همه پوک های گم شده و گم شده
241,yeah. sapulpa. couple hours from here.,اره، سپالپا چند ساعت با اینجا فاصله داره,اره، سپاس پا، چند ساعتی با اینجا فاصله داره
242,"after graduation, i went back to miami.",بعد از اینکه فارغ‌التحصیل شدم، برگشتم میامی,بعد از اینکه فارغ التحصیل شدم، ماکسیو را ترک کردم
243,"what's up? what's goin' on, man?",چه خبرا؟ چی شده رفیق؟,چه خبره؟ چه خبره؟
244,"hey, hey, hey, stay outta there.",هی، هی، هی حواست باشه چی میگی,هی، هی، هی، فکر می کنم چی میگی؟
245,"but this time, just sit there, get the cut, and get out.",اما این‌بار فقط بشین و موهاتو کوتاه کن و برو بیرون,اما این بار فقط بشین و موی تو را ببند و برو بیرون
246,to what?,تو چی؟,چی؟
247,do not get on that ship. -uh...,سوار اون کشتی نشو,اون کشتی رو سوار کن بخواب
248,it's why you're here.,برای همینه اینجایی,برای همیسا، برای اینجا
249,we even got braces with extra rubber bands!,تازه ارتودنسی هم کردیم و کش اضافه برایش گذاشتیم,تیم اترنتینو هم همین طور شروع کرد و اضافه کشید
250,you know what to do.,میدونی چیکار کنی,فهمیدم چه جور باید بکنی
251,mmm. mmm-hmm.,اوم,اممم
252,your father's out. i need to get out of here too.,پدرت رفت منم باید برم,نامزدش رفت من باید برم
253,"as you once believed in me, i will now believe in myself.",، همون‌طور که تو یک‌بار بهم باور داشتی حالا من باید به خودم باور داشته باشم,، همونطور که من یک بار به من فکر می کردم ، حالا باید به خودم فکر می کردم
254,"leigh, what is wrong with you?",«لی» چت شده؟,«تی» چپ شده؟
255,jovan?,جووان؟,جو ان؟
256,i walk outta here or he dies.,یا از اینجا میرم یا میمیره,یا از اینجا میرم یا میمیرم
257,i seriously doubt that.,واقعا یه لحظه شک کردم,یه لحظه شکست خوردم
258,we ran into you guys! -huh?,شما رو دیدیم - هان؟ -,تو دیدی؟ هان؟
259,"but if we don't make the team,",ولی اگه عضو تیم نشیم,ولی اگه عضو تیم بشیم
260,i don't know who you think i am.,نمیدونم فکر می‌کنی کی هستم,نمیدونم فکر می کنم کی هستم
261,this feels different.,حس عجیبی داره,حس عجیبی داره
