,en_text,fa_text,T5_translation
119,you care too much about things.,خیلی اهمیت می‌دی‌ها,اهمیت زیادی برای مود ها دارد.
120,it's okay.,چیزی نیست,چیزی نیست
121,"okay, so, so let's make the next one",خیلی خب، بیا بعدی رو,خیلی خب، حالا باید ادامه بدهیم.
122,i think so.,. فک کنم,.
123,i'm going to live every minute of it.,قراره از تک‌تک لحظه هاش استفاده کنی,باید از جمله ی دفعه ی گذشته استفاده کنیم
124,you want one?,می‌خوای امتحان کنی؟,می خوای امتحان کنی؟
125,can i please just pay the ticket and go home?,نمیشه لطفا جریمه بدم و برم خونه؟,آیا لطفا جریمه بدم را برای رفتن به خونه دعو
126,the count's off.,! سرشماری مشکل داره,! شکل ضد انقلابی
127,this is more than i remember sending back here.,یادم نمیاد این همه خاطره فرستاده باشیم اینجا,یادم نیست که این همه خاطرات را در اینجا رها کرده باشیم
128,"all righty, mentors.",خیلی خب مربی‌ها,خیلی خوب، دوستان صمیمی
129,we've never connected an untethered soul back to its body before.,ما تاحالا یه روح ازاد رو به بدنش برنگردوندیم,ما تا حالا یک روح نفرت انگیز به بدنش ادامه می دهیم
130,"guys, let's go, go, go!",! بچه‌ها، بریم، بریم، بریم,بچه ها، بریم، بریم، بریم، بریم، بریم،
131,that are right there to the printer? no.,این دقیقا اینجاست برای چاپ خونه؟ نه,این دقيقا برای پوشاندن خونه است؟ نه.
132,what pills?,کدوم قرص‌ها؟,کدام قرص؟
133,"because, mon ami, we need to speed things up,",دوست عزیزم، چون باید عجله کنیم,دختر عزیزم، چون باید عجله کنیم
134,whoa!,! وای,! بله!
135,i'm sure you're very talented in a lot of different ways.,مطمینم تو هم تو خیلی چیزها با استعدادی,تصدیق کنید که من هم تعداد زیادی از این چیزها را دارم
136,"a one-way expressway to,",می‌ره اون پشت مشت‌ها,پشت مشت هایش را می برند
137,"okay, uniforms.",خیلی‌خب، یونیفرم,خیلی خوب، یونیفورم
138,exactly what you'd expect.,دقیقا همون چیزی که انتظار می‌رفت,دقيقا همون چیزی که انتظار می کشد
139,that's a sar-chasm.,شکاف ناشی از کنایه‌ست,شکاف توسط دزدان دولتی
140,remember when we all finally came up to headquarters?,اون زمان رو یادتونه که تازه اومده بودیم مرکز فرماندهی؟,این موقعیت به یاد می آورد که من به تازگی فرماندار مرکز
141,we got to get him down. okay.,. ما باید بیاریمش پایین -. باشه -,ما باید کمی پایین تر یاری کنیم- .بسیار خوب-
142,they have a nice wine list.,شراب‌های خوبی دارن,شرایط خوبی وجود دارد
143,you too.,شما هم همین‌طور,شما همین طور هستید
144,i don't know.,. نمیدونم,. نمی دونم
145,it's okay. it's okay. i'll do it.,. عیبی نداره. مشکلی نیست. من انجامش میدم,. مشکلات وجود نداره. مشکلات وجود نداره. من
146,mom doesn't know about this gig.,مامان درمورداین اجرا چیزی نمیدونه,مامان در مورد این اجرا چیزی نمی دانند
147,that one goes there. check.,. این هم می‌ره اینجا بررسی شد,این هم نیز می ره در اینجا بررسی شد
148,"come on, kate. all right, you got it.",زودباش کیت خیلی‌خب، بلند شو,زودباش کیی خیلی خوب، شوخی تند
149,"sorry, but joe can't do it today.",ببخشید، ولی جو امروز نمیرسه,لطفا، اما جو امروز اصلا اهمیتی نمی دهد.
150,"um, leigh was actually valedictorian.",مم، در واقع «لی» شاگرد ممتاز بود,محققا «تی» شاگرد ممتاز بود
151,what are we saying?,چی داریم می‌گیم؟,آیا صدای موش برای من چگونه است؟
152,ah! spicy! spicy!,! تنده! تنده,! تنده! تنده!
153,"it's giving me incredible high-resolution images,",تصاویر عالی و با رزولوشن بالا در اختیارم می‌ذاره,تصاویر عالی و با عکس های رزلوتسون بالا در نظر من قابل 
154,i bet anxiety would have a really good plan...,شرط می‌بندم اگه «اضطراب» اینجا بود خیلی خوب برنامه‌ریزی می‌کرد,شرط می بندم اگر «اضطراب» اینجا بود، برنامه ریزی
155,"plus, we followed our new",تازه، برنامه تمرینی تیم اول رو,تیم اول طرح ورزشی
156,"joy, the only way out is up.",شادی، تنها راه خروج به سمت بالاست,شادی، تنها راه ورود به بالاست
157,that's a really judgmental question. [ mel ] yeah.,واقعا سوالات پیش داورانه بود- اره-,واقعا اتفاقات داوطلبانه ای پیش آمده بود- اره-
158,"she's doing her thing, man.",داره کارش رو می‌کنه پسر,دخترک باید برای کار کردن ادامه دهد.
159,"okay, good.",باشه خوبه,خوب باش
160,black improvisational music.,بداهه‌نوازی موسیقی,موسیقی آهنگی آهنگی زشت
161,i said turn around.,گفتم بچرخ,گفتم بچه دار شوید
162,and it feels like you're in another place?,احساس می‌کنید جای دیگه‌ای هستید؟,آیا فکر می کنید جای دیگه ای هستید؟
163,it was horrible.,فاجعه بود,فاجعه بود
164,i'm just supposed to make sure you don't die.,من فقط قراره مطمین شد که تو نمی‌میری,من فقط باید مطمئن بشم که تو نمی میری
165,are you okay?,حالت خوبه؟,حالت خوبه؟
166,scarecrow is up.,مترسک فعال شد,جنبش قابل توجهی فعال شد
167,so what do you think you'll do?,فکر می‌کنی چیکار می‌کنی؟,فکر می کنی چه جور کار می کنی؟
168,"and then i tell anxiety, ""hey, don't worry so much anymore.""",بعدش به اضطراب می‌گم «نمی‌خواد این‌قدر نگران باشی»,بعد از آن به اضطراب می گویم «نمی خواد این قدر از
169,so send them out with just a little bit...,…پس براشون یه‌خرده,پس برای آن ها یک گروه مختلف
170,i think i'm speaking for all the jerrys when i say thank you.,من از طرف همه اجرای‌ها اومدم تا ازتون تشکر کنم,من از طرف تمام اجراها به سمت حذف ازتون آمدم تا
171,let's go!,! برو بریم,! بروید بروید
172,i don't know.,. نمیدونم,. نمی دونم
173,"um, this is one of the happier pieces.",منم، این یه قسمت شاد ترش ه,نیم، این قسمتی از شاد و شاد ترش است
174,we're going!,باید برویم,بايد برويم
175,that she doesn't force me to do.,کاری با این بچه نمی‌کنم,کار با این بچه اهمیت نمی دهد
176,who? you mean the guy from the bar?,کی؟ متصدی بار میگی؟,کی؟ مامور مامور مگی؟
177,"back up, back up, back up!",! برو عقب، برو عقب، برو عقب,!بروید جلو، بروید جلو، بروید جلو، بروید
178,you can bite.,تو میتونی گاز بزنی,تو می توانی گاو بزن را ببندی
179,because you have no purpose!,چون هیچ هدفی نداری,چون هیچ هدفی برای هدف وجود نداره
180,"[ sobs ] wait. no, he-- no, he--","…وایستا. نه,اون …نه,اون",صدای «نه، آن، آن، آن، آن،
181,how?,چطور؟,چطور؟
182,patrol finds you passed out behind the wheel of your own car,گشت تو رو کاملا بیهوش پشت فرمونش ماشینت,پشت ماشین ماشینی ماشینی گشتن کاملا بی نظم و
183,joe! who's ready to go home?,! جو کی برای رفتن به خونه اماده س؟,جو کی برای رفتن به خونه آمادگی دارد؟
184,both hands. both hands.,دو دست دو دست,دو دست دو دست
185,terry's got this under control. i'll handle it.,تری حواسش هست درستش می‌کنم,چشمان ترش وجود دارد.
186,"with a nice pass over to reeves,",یه پاس خوشگل می‌ده به‌روز,یک پاسگاه خوشگل امروز صبح می دهیم
187,you ready?,اماده‌ای؟,آمادگی؟
188,yes!,ایول,صدای ضعیفی
189,glad to see boy band island finally broke up.,خوش‌حالم که جزیره بند خوانندگان پسر از هم پاشید,خوشحالم که خواندن کنندگان نیز پسر هم وطنان سلط
190,she's having a great time.,خیلی داره بهش خوش می‌گذره,خیلی راحت می گذرد.
191,i feel terrible.,حس خیلی بدی دارم,احساسات خیلی بد دارم
192,"look, i was-- i was-- we were talking. i'm sorry.","…ببین,من …من. ما داشتیم صحبت می‌کردیم. من متاسفم",ببین، من ...من. ما حرف زدیم. من متاسفم.
193,"that would be april 20th, 1987.",بیست اپریل ۱۹۸۷,۲۱ اوت ۱۹۸۷
194,"listen to me, okay?","به من گوش کن,باشه؟",به من گوش کن، باشه؟
195,"i know you, sadness.",من می‌شناسمت هم,من هم شناخته می شم
196,we had to motivate her properly.,باید خوب بهش انگیزه می‌دادیم,باید انگیزه ی خوبی را به خوبی اجرا کنیم
197,"please, just do it quickly and quietly.",خواهشا سریع و بی‌صدا انجامش بده,اگرشا بدون صدا و صدای بلند شروع به اجرای
198,hmm.,هوم,بله
199,how are you driving?,چطور داری فرمان می‌دی؟,چطور دستور داده شده؟
200,"but i know a lot less about manual 28, chapter seven,",‫ولی من خیلی کم‌تر از اون چیزی که ‫مردم فکر می‌کنن، از کتابچه‌ی ۲۸,اما من از آن چیزی که مردم فکر می کنند کمتر از آنچه که
201,that son of a bitch came to me.,حرومزاده سراغ من اومد,صدای ضعیف برای خواندن صدای زایمان
202,you feel less joy.,کم‌تر احساس شادی کردن,کمتر احساسات شادمانی را درک می کند
203,where all the bad memories are.,جایی که تمام خاطرات بد نگه داشته شدن,در حالی که تمام خاطرات تحت حفاظت ناپذير
204,"javi, we've got to help.",بلی، باید کمک کنیم,بله، باید کمک کنیم
205,what the heck is that?,این دیگه صدای چیه؟,این گودال چطور؟
206,i'm riley.,من رایلی هستم,من رایلی هستم.
207,"81, that is not helping.",شماره ۸۱، این اصل به‌درد نمی‌خوره,شماره ۸۱، این اصل برای رنج دادن اصلا لذت نمی
208,"fear, you have a parachute?",ترس، چتر نجات داری؟,ترس، نجات چتر؟
209,22! - what did you just say?,! ۲۲ - چی گفتی؟ -,!۲۲- چه گفتی؟-
210,we'll need to stay weather-aware,…باید حواس‌مون جمع باشه,باید حواس مون جمع شود
211,okay. 2:00 p.m. that's in... -six minutes.,…خیلی‌خب، ساعت ۲ ظهر. یعنی - شیش دقیقه دیگه مونده -,- بله، ساعت ۲ عصر. - یعنی - 
212,kate!,! کیت,! کیسه ی قلب
213,otherwise go take-,…و گرنه,...و گرنه
214,"oh! - hold on, y'all.",! اوه - صبر کنید -,- آه- صبر کنید -
215,and i do not like her actions.,خوشم نمیاد,شادمانی نمی کند
216,cool.,خوبه,خوبه
217,"fine, we'll get the suit off the rack somewhere.",خیلی خب میریم که کت و شلوار از جالباسی بر می‌داریم,خیلی خوب می بینیم که کت و شلوار از لباس های جالباس
218,coach roberts isn't gonna be our coach next year.,مربی رابرتس، سال بعد مربی‌مون نمی‌شه,مربی رابرتز، سال بعد، مربی مون نمی شه
219,tell them it's the same stuff they use in diapers. hmm.,بهشون بگو همون موادیه که توی پوشک استفاده می‌شه,به آنها می گوید که موادی که در پوشک استفاده می شود
220,almost didn't recognize him with the haircut.,با اون مدل موی جدیدش اصلا نشناختمش,با آن مدل مدل جدیدش، اصلا مشخص نشده است.
221,come on!,! زودباش,!زودباش!
222,a rogue emotion has taken over headquarters.,یک احساس سرکش مرکز فرماندهی رو تسخیر کرده,مرکز فرماندهی تحت تاثیر قرار گرفته است.
223,the ruling class's core curriculum stifles dissent.,برنامه اموزشی که دولت ارایه میکنه عقاید رو سرکوب میکنه,برنامه ی آموزشی که دولت در آن مورد استفاده می کند فکرها
224,stop that. no.,بس کن نه,بسیار خوب، نه.
225,"yo, come on, man.",هی، بیا بریم پسر,ه، زود باشید پسر را رها کنید
226,of course.,خواهش,لطفا
227,"all right, hold on.",خیلی خب، وایسا,خیلی خوب، ویسالاس
228,one's gonna die out.,یکی‌شون الان تموم می‌شه,یکی از آن ها امروز اتفاق افتاد
229,what?,چی؟,چطور؟
230,to make all this go away.,تا همه اینا از بین بره,تا وقتی که همه این ها از بین رفتند
231,and we used to feel lucky if we could get you to wear pants.,و قبلا به‌زور شلوار پات می‌کردیم,و قبلا به خاطر لباس شلوار نرم شروع به نوشیدن
232,forensics is going over it at the impound lot.,بخش جرم شناسی توی پارکینگ داره روش تحقیق میکنه,بخش تحقیقات جرم شناسی در پارکینگ برای تحقیق روشن است
233,"all right, come on, cairo!",! خیلی‌خب، برو قاهره,! خیلی خب، برو قاهره
234,"we're okay. - yeah, we're good, man.",حال‌مون خوبه - اره، خوبیم پسر -,وضعیت مون خوبه - اره، فرزندی خوب -
235,val is leading us into their holy inner sanctum!,وال داره ما رو به حریم خصوصی مقدس‌شون می‌بره,اگر کسی برای ما حرفی زده باشد، باید برای ما
236,"[ chuckles ] well, that'd be cool. right?",خوب این عالیه اره؟,خوب این بانو اره؟
237,riley will never be herself,اگه این رو فورا به مرکز فرماندهی برنگردونیم,اگر فورا به فرماندار برنگردونیم
238,you'd have to shower in the lake.,مجبور بودی توی برکه دوش بگیری,برای اینکه توی برکه دوش بگیرم، عجله کردم.
239,that some cop has to come and tell her that her kid is dead.,میشه که چنتا پلیس. میان و میگم که پسرت مرده,آیا ممکن است یک نفر از افراد گروه لیس نیز یکی
240,you got all his money and you ran away.,همه پولاشو برداشتی و در رفتی,همه ی پوک های مختلف رها شده و در حال رفتن هستند.
241,yeah. sapulpa. couple hours from here.,اره، سپالپا چند ساعت با اینجا فاصله داره,اره، سپاس پا، چند ساعتی با اینجا فاصله دارد
242,"after graduation, i went back to miami.",بعد از اینکه فارغ‌التحصیل شدم، برگشتم میامی,بعد از اینکه فارغ التحصيل شدم، مازومی را به سمت خود
243,"what's up? what's goin' on, man?",چه خبرا؟ چی شده رفیق؟,چه خبره؟ چه خبر شده رفیق؟
244,"hey, hey, hey, stay outta there.",هی، هی، هی حواست باشه چی میگی,هی، هی، هی، هی، هی، فکر می کنم چه میگی؟
245,"but this time, just sit there, get the cut, and get out.",اما این‌بار فقط بشین و موهاتو کوتاه کن و برو بیرون,اما این بار فقط سگ و موهای کوتاه را بردار و برو بیرون
246,to what?,تو چی؟,تو چی؟
247,do not get on that ship. -uh...,سوار اون کشتی نشو,کشتی را سوار کنید
248,it's why you're here.,برای همینه اینجایی,برای همسایگی در اینجا
249,we even got braces with extra rubber bands!,تازه ارتودنسی هم کردیم و کش اضافه برایش گذاشتیم,نیز نیز حمله ی سربازان روسیه را به صورت
250,you know what to do.,میدونی چیکار کنی,ميدونم چطوری باید حرف بزنیم
251,mmm. mmm-hmm.,اوم,اوم
252,your father's out. i need to get out of here too.,پدرت رفت منم باید برم,پدربزرگ رفت منم بايد برم
253,"as you once believed in me, i will now believe in myself.",، همون‌طور که تو یک‌بار بهم باور داشتی حالا من باید به خودم باور داشته باشم,همونطور که من یک بار به من فکر می کردم، من باید به
254,"leigh, what is wrong with you?",«لی» چت شده؟,«تی» چت شده؟
255,jovan?,جووان؟,جوهان؟
256,i walk outta here or he dies.,یا از اینجا میرم یا میمیره,یا از اینجا می روم یا می آمیزد
257,i seriously doubt that.,واقعا یه لحظه شک کردم,حقیقتا یک لحظه شکست خوردم
258,we ran into you guys! -huh?,شما رو دیدیم - هان؟ -,تو دیده می شوی- هان؟-
259,"but if we don't make the team,",ولی اگه عضو تیم نشیم,اما اگر عضو تیم بشویم
260,i don't know who you think i am.,نمیدونم فکر می‌کنی کی هستم,من نمی دانم فکر می کنم که کی هستم
261,this feels different.,حس عجیبی داره,حس عجیبی وجود دارد
262,and everything you've done for me.,و همه کارهایی که برای من کردی,و تمام کارهایی که برای من انجام دادند
263,oh! we use our slap shot!,با اسلپ شات,با صفحه ی صفحه ی صفحه ی صفحه ی صفحه
264,we were a couple of foster system rejects.,چندتا طرد شده از سیستم فرزندخواندگی بودیم,چند نوع از سیستم خواندن کودکان در نظر گرفته شد.
265,me can't do it today.,من نمی‌توانم,من نمی توانم
