en_text,fa_text
i know. i can't--,…میدونم، نمی‌کنم
there's a tornado! there's a tornado!,! گردباده! گردباده
i'm assuming this is safe.,این کار امده دیگه؟
you need to take a few minutes? go ahead.,چند دقیقه زمان لازم داری؟ باشد
"but once i get on the stage tonight,",اما همین که امشب برم روی صحنه
we were about to say that at the same time.,داشتیم همزمان می‌گفتیم
lock! - lock!,! قفلش کن -! قفل شد -
we're moving. - are you seeing this?,داریم حرکت می‌کنیم - می‌بینید؟ -
it's one of our great contributions to american culture.,یکی از راه‌های کمک به فرهنگ امریکاییه
leigh.,«لی»
you've read the manuals cover to cover.,کتابچه‌های راهنما رو کامل خوندی
but you're right.,ولی حق با تویه
"oh, my god.",". اوه,خدای من"
"she can be bored, but never boring.",کسل می‌شه، ولی کسل‌کننده نه
"how's he doing, by the way?",در چه حالی راستی؟
"please, can you stop? - it's a great idea.",می‌شه بس کنی لطفا؟ - ایده عالی‌ایه -
"why? i mean, this i gotta see.",چرا؟ یعنی میخوام ببینم
"please. rebecca, please!",ربکا، ربکا، خواهش می‌کنم
"oh, it's, um, it's like a, like a fancy goose.",اوه شبیه یه غاز باحاله
lance!,لنس
"if you don't want me to come, just say so, okay?",اگه نمیخوای باشم، فقط بهم بگو، باشه؟
sorry. i--,ببخشید …من
"are the winds weakening, javi?",باد داره فروکش می‌کنه خاوی؟
should i even ask you how this happened?,باید ازت بپرسم چطور اتفاق افتاد؟
oh! here she comes.,! اوه! اومدش
"sorry, i actually, i see you here every single day.",ببخشید. راستش من هر روز اینجا میبینمت
"you just aren't what she needs anymore, joy.",دیگه به شماها نیازی نداره شادی
"listen to him. - hey, be real careful!",گوش کن - مراقب باش -
okay?,خب؟
"that's a tornado right there, baby.",گردباده عزیزم
i don't wanna be a cat. i hate cats!,من نمیخوام گربه باشم از گربه‌ها متنفرم
who is sending all this positive...,…کی داره این تصورات مثبت رو می‌ف
my mom kicked me out.,مامانم منو با لگد انداخت بیرون
this one to the east has the sky all to herself.,اینی که سمت شرق‌ه کل اسمون رو در اختیار داره
what a show! - that last solo was brilliant.,! چه نمایشی - تکنوازی اخرش عالی بود -
"oh, no, no, no! my hair! my hair is not okay!",! اوه، نه، نه، نه، موهام! موهام خوب نیست
"oh, i get it.",اوه، فهمیدم
got some serious energy building in there.,انرژی زیادی داره توش جمع می‌شه
stay on the beat.,روی ضرب بزنید
"joy, anger is taking up the floret.",شادی، خشک داره گل‌کلم رو می‌گیره
"your surname, just in case i include you in my piece.",فامیلیت رو می‌خوام بدونم شاید بخوام یه اسمی ازت توی مقاله‌ام ببرم
it's what helps riley make good choices.,باعث می‌شه که رایلی تصمیمات خوب بگیره
it's gonna be okay.,چیزی نمی‌شه
"she eats alone, and only the teachers",تنها غذا می‌خوره و فقط معلم‌ها
"don't worry, i know right where the stream is.",نگران نباشید، می‌دونم بود کجاست
"like, in jail?",مثله زندانی‌ها؟
except you. i don't like you.,به جز تو ازت خوشم نمیاد
and what about the red in her hair?,مش قرمزش چی؟
which is why we're gonna need more help.,واسه همین به کمک بیش‌تری نیاز داریم
"right now, right here. [ pats table ]",",همین الان. همینجا"
welcome back.,خوش برگشتید
"and we both live,",و جفتمون زنده بمونیم
"yes, sir.",بله جناب
"all right, boone. we ready? yep. yep.",خیلی‌خب بون. اماده‌ایم؟ - اره، اره -
but i am most definitely savin' lives.,اما مطمینا زندگی‌ها رو نجات میدم
you're gonna want aluminum.,باید از جنس الومینیوم باشه
"oh, my god.",". اوه,خدای من"
go ahead.,انجام بده
that's pretty impressive. -you worked hard.,خیلی تحسین‌برانگیز بود - زحمت کشیدی -
just friends.,فقط دوستیم
everybody just relax.,همگی اروم باشند
"all right, listen to me, all right?",گوش کن بهم
gives you a nice blank canvas,بهتون فرصت میده تا
i've got to get this. um...,باید این رو جواب بدم …ام
sully! what the?,سالی! چته؟
we just got to push through this rain curtain.,باید از این بارون رد بشویم
don't look. don't look. [ gasps ],. نگاه نکن. نگاه نکن
siloam road.,جاده سایلوم
"abraham lincoln, and mother teresa.",ابراهام لینکلن و مادر ترسا داشته
i just know he's drinking bourbon.,فقط میدونم بربن میخوره
"please. - leigh, he's a kid!",". لطفا -! لی «,اون یه بچست» -"
1.75 souls per second.,در هر ثانیه ۱ ٫ ۷۵ روح
it's light out at 1:00 in the morning!,ساعت یک صبح، همیشه خاموشی بود
that's terrible.,. وحشتناک
"once again, a tornado has just touched down...",…یه بار دیگه می‌گم، یه گردباد تشکیل‌شده
we're live on youtube. say something.,روی یوتیوب، لایو هستیم یه چیزی بگید
whoa!,اوه
i just thought you went to music school.,فکر می‌کردم تو فقط به مدرسه موسیقی رفتی
leigh? give me a m--,لی «؟» …یه دقیقه به من
you got one minute.,یک دقیقه وقت داری
we are not changing in front of them.,نباید جلوشون لباس عوض کنیم
"you make riley happy,",تو رایلی رو شاد می‌کنی
orange? who made the console orange?,نارنجی؟ کی صفحه‌ی فرمان رو نارنجی کرده؟
he works alone.,تنها کار میکنه
aw. that's nice.,اخی، چه قشنگ
but they'll all forgive us when we make the team.,ولی وقتی عضو تیم باشیم همه‌شون می‌بخشن‌مون
[ murmuring ] yes. take it down.,.. اره. بگیرش
"hello, destiny!",سلام‌ای سرنوشت
"you know, if you can keep up, we'll put you in the episode.",می‌دونی، اگه بتونی پابه‌پامون پیش بیای توی قسمت‌هامون میاریمت
you know that i need this money for my father.,میدونی که برای پدرم به این پول نیاز دارم
quick! cover the butt!,! زود باش! کونت رو بپوشن
"sleep tight, honey.",خوب بخوابی عزیزم
what...,…چی
hello?,اهای؟
we got to be within 300 meters for the radar to work.,باید توی فاصله ۳۰۰ متری باشیم که رادار کار کنه
"oh, updraft is cycling.",اوه، جریان عمودی داره می‌چرخه
"hey, come on! i want you to meet the other fire hawks.",هی، بیا! می‌خوام با بقیه دخترهای تیم اشنات کنم
where all of our good gossip comes from.,منشاء تمام شایعه‌های خوب‌مون
you spilled the tea!,چای رو ریختی
"well, nothing's coming out of that one.",خب، ابی از اون گرم نمی‌شه
ran away from little jay's.,«ازون» جیسون کوچیکه. فرار کرده
"tyler, do we know which storm we're going after yet?",تایلر، هنوز معلوم نشده دنبال کدوم طوفان می‌ریم؟
"we met earlier, but you weren't doing too good.",قبل‌تر باهم اشنا شدیم ولی وضعیت خیلی خوب نبود
"um, 2003, i think--",",ام, ۲۰۰۳ …فک کنم"
"oh, this is",…اوه
"wow. that's, uh, great.",خیلی خوبه
"no, that ain't good.",نه، خوب نیست
"oh, what's your name, honey?",اوه، اسمت چیه عزیزم؟
what the fuck are you doing pointing that thing at me?,چرا اونو سمتم نشونه گرفتی لامصب؟
shh.,کشش
"come on. that's fucking bullshit, okay?","یالا. اینا همشون مزخرفه,خب؟"
for self-improvement.,جا برای پیشرفت هست
oh! get up and glow! they're so awesome.,! اوه! بند بلند شو و بدرخش حرف ندارن
"22, i was wrong.",من اشتباه می‌کردم
grace!,گریس
"okay. but not, like, tomorrow.",". خیلی خب -. ولی,خب,فردا نه -"
you have any idea what you're getting yourself into?,می‌دونی داری خودت رو توی چه مخمصه‌ای می‌اندازی؟
i... i'll just watch on this first one.,بهتره این اولی رو فقط تماشا کنم
we need hair like that.,به همچین مویی نیاز داریم
it's not based on size or wind speed.,براساس اندازه یا سرعت باد نیست
i don't know. something cool.,نمیدونم یه چیز باحال
what do you want?,چی میخوای؟
aren't the only things made by memories.,تنها چیزهایی نیست که خاطرات ایجادشون می‌کنه
"look, i'm not supposed to be here.",ببین، من نباید اینجا باشم
i've got you.,گرفتمت
you joined the military? - yeah.,عضو ارتش شدی؟ - اره -
she knows we're hiding something.,فهمیده که داریم یه چیزی رو مخفی می‌کنیم
can you tell me what day it is?,میشه بگید امروز چند شنبه اس؟
there we go.,بزن بریم
yes!,دقیقا
"mm-hmm. and you're a pervert, right?","من منم. و تو منحرفی,درسته؟"
i'm gonna look for another job.,. من دنبال یه کار دیگه می‌گردم
"well, go for the reward.",خب، پس برو سراغ پاداش
so you can leave...,…که بتوانی خارج شی
in here.,اینجا
"yes, the same method as before.",اره، همون روش قبیله
i don't deal with bullshit artists.,با کلاهبردارها معامله نمی‌کنم
"of course, you love music now, because you're me. let's go.",معلومه، تو الان عاشق موسیقی هستی چون توی بدن من هستی، بزن بریم
i am.,اینطوریم
"all right, all right.",خیلی‌خب، خیلی‌خب
then you get us out of this safe.,شما از گاوصندوق درون میارین
how you doing?,چطوری؟
"just call my name, and i am here for you.",هرکاری داشتی، اسمم رو صدا بزن تا خدمت برسم
i'm a good person.,من ادم خوبی‌ام
look...,…ببین
you can't just bottle us up!,نمی‌تونی بندازی‌مون توی بطری
over.,تمام
"sorry, joe. - sorry, joe.",- معذرت میخوام جو - معذرت میخوام جو
you're asking me?,تو ازم می‌پرسی؟
"if i'm looking at a psychopath,",اگه کسی روانی باشه
did you know the change in your couch,می‌دونستید با پول‌های خوردن
"the best part is, stillwater, they are one of yours.",استیل‌واتر، بهترین بخشش اینه که …اونا عضوی از شما هستن
"not bad. -oh, joy.",بدک نیست - وای، شادی -
you know what? i think that you couldn't let me have my shit together.,میدونی چیه؟ من فکر می‌کنم که تو نذاشتی خودم. کارارمو بکنم
to come live.,که زندگی کنی
"yes. come on, come on.",ایول. زود باش، زود باش
you have no idea how lucky you are right now.,تو نمیدونی الان چقدر خوش شانسی
"now, split yourselves down the middle.",حالا دوتا تیم سید
come on.,بیاید
i know that what you must be going through right now,میدونم که الان داری سختی زیادی
i'm not gonna get blamed for this!,منو نباید مقصر دوست
yeah.,اره
"well, at least they got his good side.",اقلا جنبه خوبش رو نشون دادن
about to chase a storm southwest of us.,و می‌خواد یه طوفانی که در سمت جنوب غربی ماست رو دنبال کنه
a lot of it. okay?,یه عالمه باشه؟
that's it. you're doing it.,همینه داری موفق میشی
"damn it, javi!",! لعنت بهت خاوی
"you viewers asked me, ""can you shoot fireworks up a tornado?""",شما بیننده‌ها از پرسیدید «می‌شه وسط گردباد، ترقه زد؟»
"no, we need leverage to tip it!",نه، باید با یه چیزی اهرمش کنیم! که برش گردونیم
"for several months now, she must have mentioned it.",برنامه به مسافرت خانوادگی ریخته بوده لابد گفته
to make our riley.,هویت رایلی‌مون رو خلق می‌کنن
watch out!,! مراقب باش
you have been rocking that same style for a while.,خیلی وقته که استایلت عوض نشده
you understand me?,متوجهی؟
"come on, riley, we just went to their concert.",بی‌خیال رایلی، همین تازگی‌ها رفتیم کنسرت‌شون
"with a pocket full of broken glass,",با یه جیب پر از خرده‌شیشه
when i saw the size of it on the radar,…وقتی اندازه‌اش رو روی رادار دیدم
"you don't stop in the middle of the street. go, go, go.",وسط خیابون متوقف نمیشن برو، برو، برو
i'm no good.,من خوب نیستم
it's not offbeat.,. این غیرعادی نیست
isn't she cute? - what are you doing?,بانمک نیست؟ - داری چی کار می‌کنی؟ -
this is what i have to put up with...,وقتی با یه دختر خیلی باهوش …وارد رابطه می‌شید
"hey, um, we never found out what 22's purpose was.",هی، هیچ وقت نفهمیدم هدف ۲۲ چیه
"wait, she's up too early. what are they doing to her?",. وایسا ببینم، خیلی زود بیدار شد دارن باهاش چی کار می‌کنن؟
shh. quiet coyote. - hell.,شش، گرگ صحرایی ساکت - جهنم -
[ laughing ] john-- come on.,… «جان» -. یالا -
"uh, i'll tell her.",". اه,من بهش میگم"
okay.,باشه
the state will continue to see more devastating effects...,…ایالت همچنان با خسارات نابودکننده بیش‌تری
they're running from it. they're scared.,دارن ازش فرار می‌کنن ترسیده‌ان
i- i could have hit a deer or something.,ممکنه به گوزنی چیزی زده باشم
you all through?,کارتون تموم شد؟
"no, no, no!",نه، نه، نه
and lily with her drone ready. - what's good? what's poppin'?,و لیلی هم با پهپاد - چه خبر؟ همه‌چیز بر وفق مراده؟ -
fuck! - what? what's wrong?,لعنتی - چی؟ چی شد؟ -
joe.,جو
put me down.,منو بذار پایین
it was like the beating heart of our high school social life. this was it.,قلب تپنده‌ی زندگی ما تو دوران دبیرستان بود
"yes? you don't know this, but...",باه؟ - …اینو نمیدونی …ولی-
the female?,زنه؟
gotcha!,گرفتمت
"no, i- i don't have kids.",نه. من بچه ندارم
whoa. that's me.,وای این منم
grow up.,…بزرگ شو
"[ coughing, laughing ] in this uncharted territory of our dreams.",این یک قلمرو ناشناخته از رویای ماست
i'm not good enough.,من ناکافی‌ام
really?,واقعا؟
you're a piece of work.,واقعا شاهکاری
hm. - and i- i wasn't drunk.,و مست نبودم
careful.,مراقب باش
middle school science fair project.,پروژه جشنواره علمی دوران راهنمایی
"look, all you have to do",ببین. تنها کاری که باید بکنی
right down here.,همین پایین
this is the best we have!,اینا بهترین گزینه‌هامونن
please don't do this to me.,لطفا اینکارو باهام نکن
"yeah, i was meaning to visit.",اره می‌خواستم سر بزنم
slow it down. hold tight!,اروم -! سفت بچسبید -
this is a 4warn weather alert.,این یک هشدار هواشناسی سطح چهار می‌باشد
camp time.,باید بری اردو
you don't have to ask me twice.,کاملا موافقم
"actually, you made a good call earlier.",راستش، تصمیم درستی گرفتی
"unless you're a safety official,",…در صورتی که امدادگر رسمی نیستید
but it basically is.,ولی عملا هست
unless rebecca had a change of heart.,مگه اینکه ربکا نظرش عوض شده باشه
"but it was cruel, and it killed it.",ولی این ظالمانه بود و اون رو کشت
leigh-leigh.,«لی‌لی»
and that won't occur,و این اتفاق نمیفته
all over your fucking bumper?,روی سپر ماشینت ریخته لامصب؟
"oh, the world needs remarkable people",دنیا به ادمای خوب نیاز داره
it's 3 minutes to 2:00.,سه دقیقه به ساعت دو مونده
so you could be a middle-aged man,وقتی یه مرده میان‌سال شدی
think it might help.,با خودم گفتم شاید کمک کنه
"fine, we'll get the suit off the rack somewhere.",خیلی خب میریم که کت و شلوار از جالباسی بر می‌داریم
he's lucky i didn't bash his fucking head in.,شانس اورد نزدم سرشو خرد کنم
"oh, you've got the whole alphabet.",اوه، همه‌جور ادمی دارید
hands are hard.,دست ساختن
"you still have about 10 years, two graduations,",هنوز ده سال و به اندازه دوتا فارغ‌التحصیلی
i finally land the gig of my life and you're upset.,من بالاخره به اجرای موردعلاقه زندگیم رسیدم اما تو ناراحتی
"just stay quiet, please. okay?",فقط لطفا ساکت باش. خب؟
going out.,. میریم بیرون
i'm gonna try and talk to her.,من سعی می‌کنم باهاش صحبت کنم
pardon. excusez moi.,ببخشید، عذر می‌خوام
and he's really obnoxious like he has no mother?,و واقعا اینقدر زیان‌کار ه که انگار مادر نداشته؟ …
isn't it amazing?,خفن نیست؟
i kind of like the idea of raising him on my own.,یه جورایی دوست دارم خودم بزرگش کنم
"now, concentrate on where your body is.",الان رو جایی که بدنت هست متمرکز شو
that's fucking music to my ears.,جون بابا
"envy, i think you're really in the zone.",حسادت، به‌نظرم دیگه راه افتادی
what if there's no tornado?,اگه گردبادی در کار نباشه چی؟
i am not letting you take him.,نمیذارم ببریش
just hang out?,و فقط با من باشی؟
"how do we get there? do you even have a plan, joy?",چطور بریم؟ برنامه‌ای داری شادی؟
"okay. goodbye, paul.",خیلی خب خداحافظ پال
and still be in that life anymore.,. هنوز تو اون زندگی باشم …
that's the tyler owens effect.,اثر تایر اوونزه
you have a plan? - a good plan.,نقشه داری؟ - یه نقشه خوب-
are you okay? - yeah.,خوبی؟ - اره -
that's right. yes.,درسته. اره
i lost everything because of you!,من همه چیزی به خاطر تو از دست دادم
"javi, talk to us.",توی، بگو چه خبره
give us a nice respectable ef1.,یه گردباد با مقیاس فوجیتای یک بهمون بده
what you're doing right now is called harassment.,این کاری که شما الان می‌کنید.. صدایش می‌کنند ازار و اذیت
this is going great!,همه‌چیز داره عالی پیش می‌ره
no way. i just need to line me up. now be still.,اصلا، فقط باید تنظیمش کنم حالا تکون نخور
"you have no faith, praveen.",تو اصلا به کامران ایمان نداری پروین
what?,چی؟
"listen, i know these guys. can i help at all in this situation?",گوش کن من این‌ها رو می‌شناسم میتونم کمکی توی این موقعیت بکنم؟
yeah! but we need val to really like us.,اره، ولی باید یه کاری کنیم که وال ازمون خوشش بیاد
that's all right. just keep straight.,مشکلی نیست مستقیم برو
move the table.,میز رو جابجا کن
the sooner state is bracing,…اکلاهما در حال اماده شدن
"some of them rockets in the bag, please.",توی کیف رو بهم بده لطفا
oh.,اوه
these weirdos are going to help me get back?,این عجیب غریبا میخوان کمک کنن برگردم؟
there's a soul missing. the count's off.,یه روح گم‌شده سرشماری مشکل داره
"yes, coach.",بله مربی
i fell into your body because it doesn't have a soul.,من افتادم توی بدنت چون که روح نداشت
"well, you're a long way from home, city girl.",خب، خیلی از خونه دور شدی دختر شهری
don't make me laugh. stop it.,نخندونم بس کن
and work hard with your dad...,و با پدرت سخت کار نمی‌کنی؟
"what do you think of earth, anyway?",نظرت درباره زمین چیه؟
but i am a warrior cursed with a feeble attack.,ولی من یک جنگجوی نفرین‌شده‌م و اتک ضعیفی داره
"um, wait. we forgot to try breakdancer.",اوه، صبرکن ما هنوز «بریک دنس» رو امتحان نکردیم (نوعی رقص)
i was so looking forward to working with you guys.,خیلی مشتاق همکاری با شما بودم
"all right, who asked you, man? just drive.",خیلی‌خب، کی از تو سوال کرد؟ رانندگیت رو بکن
"then we go back out, you say you tried,",بعد بر می‌گردیم داخل تو میگی سعیت رو کردی
"you're joe! - i mean, me.",! تو جو هستی - منظورم اینکه من نمی‌رسم -
all of 'em.,همه‌تون
who is a pillar of this community?,که از افراد بزرگ اجتماع تاثیر داره؟
dr borgensson will be matched with soul number 22.,دکتر بورگنسون با روح شماره ۲۲ همکاری می‌کند
a spark isn't a soul's purpose.,جرقه هدف به روح نیست
right? then she had to sweep everything under the rug.,نه؟ بعد یه دفعه جا زد
so shouldn't you check on it?,پس نباید چکش کنی؟
"we got in her car,",سوار ماشینش شدیم
what are all the invisible factors coming together?,عوامل مبهمی که دست به دست همدیگه می‌دن، چی‌ها هستن؟
don't make me do this.,مجبورم نکن اینکارو کنم
are you out of your mind?,دیوونه شدی؟
joy!,شادی
"guys, these are high-schoolers.",بچه‌ها، اینا بچه دبیرستانی‌ان
"look, we all have a job to do.",ببین، همه‌مون یه وظیفه‌ای داریم
on the team if she can't get it together.,مربی هیچ‌جوره نمی‌ذارتش توی تیم
"all right, look.",خیلی‌خب، ببین
we go to the half note and wait there for moonwind.,میریم به هف نوشت و منتظر مون ویند می‌مونیم
hey.,سلام
i didn't have him do shit!,بهش نگفتم هیچ کاری کنه
"what's your name, big fella?",اسمت چیه گنده‌جون؟
"and... and where it was headed,",…و …و دیدم به کدوم سمت داره میاد
"oh, mom looks sad.",اوه، مامان به‌نظر ناراحتی میاد
but she really does stink.,ولی واقعا بوی بدی می‌ده
the next four years of our lives.,مشخص کنه
"than what you've already done,",الان کردی
"you've proven my point for me, sadness.",حرفم رو ثابت کردی، غم
went in and out. you're fine.,گلوله رفت تو و بیرون اومد چیزیت نیست
"with real lawyers, and they'll sue you.",با وکیل واقعی و ازتون شکایت میکنن
thank you for driving.,ممنون بابت رسوندنم
"how we doing back there, ben?",اوضاع چطوره بن؟
"oh, duckhorn cabernet.",داکهورن کرسنت
"i was seriously asking, like, what is all the fuss about?",خیلی جدی می‌پرسیدم که این همه سر و صدا برای چیه؟
where's the girl?,دختره کجاست؟
"no, you're making it worse!",نه، داری بدترش می‌کنی
"okay, it's giving jealousy. i'm sorry.",. خیلی‌خب، حسودی‌شون می‌شه واقعا متاسفم
but how do you figure out what that thing is?,اما ز کجا باید بفهمی چه کاری؟
this computer actually works.,. این کامپیوتر واقعا کار میکنه
maybe you did.,شایدم داشتی
"sadness, you won't hurt it, i promise.",. غم، بهش اسیبی وارد نمی‌کنی بهت قول می‌دم
"hi, everybody. i'm pouchy!",. سلام دوستان من «اقا کیفه» هستم
"i got a question for you, leigh.",«یه سوال دارم برات» لی
"um, excuse me, what's going on here?",اوه، معذرت میخوام اینجا چه خبره؟
blow up this cliff? -yep!,بترکونیم؟ - اره -
